alpha,beta,gamma,rho_norm,amp_baseline,amp_full
0.0,0.2,0.25,1.5,1.0,1.5175
0.0,0.2,0.25,2.0,1.0,1.63
0.0,0.2,0.25,2.5,1.0,1.7425
0.0,0.2,0.25,3.0,1.0,1.855
0.0,0.2,0.25,3.5,1.0,1.9674999999999998
0.0,0.2,0.25,4.0,1.0,2.08
0.0,0.2,0.25,4.5,1.0,2.1925
0.0,0.2,0.25,5.0,1.0,2.3049999999999997
0.0,0.2,0.3,0.5,1.0,1.315
0.0,0.2,0.3,1.0,1.0,1.45
0.0,0.2,0.3,1.5,1.0,1.585
0.0,0.2,0.3,2.0,1.0,1.72
0.0,0.2,0.3,2.5,1.0,1.855
0.0,0.2,0.3,3.0,1.0,1.9899999999999998
0.0,0.2,0.3,3.5,1.0,2.125
0.0,0.2,0.3,4.0,1.0,2.26
0.0,0.2,0.3,4.5,1.0,2.3949999999999996
0.0,0.2,0.3,5.0,1.0,2.5300000000000002
0.0,0.2,0.35,0.5,1.0,1.3375
0.0,0.2,0.35,1.0,1.0,1.4949999999999999
0.0,0.2,0.35,1.5,1.0,1.6524999999999999
0.0,0.2,0.35,2.0,1.0,1.81
0.0,0.2,0.35,2.5,1.0,1.9674999999999998
0.0,0.2,0.35,3.0,1.0,2.125
0.0,0.2,0.35,3.5,1.0,2.2824999999999998
0.0,0.2,0.35,4.0,1.0,2.44
0.0,0.2,0.35,4.5,1.0,2.5975
0.0,0.2,0.35,5.0,1.0,2.755
0.0,0.2,0.4,0.5,1.0,1.3599999999999999
0.0,0.2,0.4,1.0,1.0,1.54
0.0,0.2,0.4,1.5,1.0,1.7200000000000002
0.0,0.2,0.4,2.0,1.0,1.9
0.0,0.2,0.4,2.5,1.0,2.08
0.0,0.2,0.4,3.0,1.0,2.2600000000000002
0.0,0.2,0.4,3.5,1.0,2.4400000000000004
0.0,0.2,0.4,4.0,1.0,2.62
0.0,0.2,0.4,4.5,1.0,2.8
0.0,0.2,0.4,5.0,1.0,2.98
0.0,0.2,0.45,0.5,1.0,1.3824999999999998
0.0,0.2,0.45,1.0,1.0,1.585
0.0,0.2,0.45,1.5,1.0,1.7875
0.0,0.2,0.45,2.0,1.0,1.99
0.0,0.2,0.45,2.5,1.0,2.1925
0.0,0.2,0.45,3.0,1.0,2.395
0.0,0.2,0.45,3.5,1.0,2.5975
0.0,0.2,0.45,4.0,1.0,2.8
0.0,0.2,0.45,4.5,1.0,3.0025
0.0,0.2,0.45,5.0,1.0,3.205
