sigma,sigma_plx_mas,sigma_pm_mas_yr,seed,sig_clean_median,sig_noisy_median,sig_nri_high,delta_sig_ratio,fld_clean_median,fld_noisy_median,fld_nri_low,delta_fld_ratio,margin,separated
1.5,0.3,1.0,999,0.19835199653526514,0.1999300277645929,0.20892391104745553,0.0015780312293277587,0.8325816920054112,0.836469201332164,0.8020175118245474,0.003887509326752747,0.6365391735675711,True
1.5,0.5,0.05,42,0.20831685512507525,0.20793443357039051,0.21596320181068993,-0.0003824215546847365,0.8135025395236064,0.8128254509652717,0.7822725131584086,-0.0006770885583347042,0.6048910173948812,True
1.5,0.5,0.05,123,0.2058891717358159,0.2067112185704543,0.2161204360150181,0.0008220468346384069,0.8568345704954752,0.8544093441959902,0.8172419781927714,-0.0024252262994849394,0.647698125625536,True
1.5,0.5,0.05,999,0.19835199653526514,0.1981102813032008,0.20712360617506356,-0.00024171523206434342,0.8325816920054112,0.8310374573281751,0.7992784789637447,-0.0015442346772360782,0.6329271760249744,True
1.5,0.5,0.2,42,0.20831685512507525,0.20783747102285072,0.21567251452461053,-0.00047938410222453376,0.8135025395236064,0.8139178813176424,0.7836276968331314,0.0004153417940360171,0.6060804102947916,True
1.5,0.5,0.2,123,0.2058891717358159,0.20785704951688558,0.2173396756211693,0.001967877781069688,0.8568345704954752,0.8546147892736922,0.8171154145450277,-0.0022197812217830126,0.6467577397568066,True
1.5,0.5,0.2,999,0.19835199653526514,0.19735936837618473,0.20619318454308808,-0.000992628159080411,0.8325816920054112,0.8322782005346789,0.8008779787985251,-0.00030349147073227556,0.6349188321584942,True
1.5,0.5,1.0,42,0.20831685512507525,0.21323315906156215,0.2211854018745829,0.004916303936486899,0.8135025395236064,0.8154586724002442,0.7838836356756578,0.0019561328766377617,0.602225513338682,True
1.5,0.5,1.0,123,0.2058891717358159,0.21126635216589434,0.2209621758366771,0.005377180430078454,0.8568345704954752,0.8494049436788491,0.8111385802089821,-0.007429626816626067,0.6381385915129547,True
1.5,0.5,1.0,999,0.19835199653526514,0.20011227515478625,0.20777767084271695,0.001760278619521105,0.8325816920054112,0.8362938560463441,0.8037535405644949,0.003712164040932886,0.6361815808915579,True
15.0,0.02,0.05,42,0.6020099478771002,0.6002659333066639,0.6271958267043088,-0.0017440145704362697,0.8135025395236064,0.8130921609842382,0.782287242509476,-0.0004103785393682058,0.2128262276775743,True
15.0,0.02,0.05,123,0.6116372617107582,0.6108423410938852,0.6362258794196766,-0.0007949206168729184,0.8568345704954752,0.8547908459392581,0.8204689056796142,-0.0020437245562170414,0.2439485048453729,True
15.0,0.02,0.05,999,0.5667811200687464,0.5657574315384352,0.5947977350059753,-0.0010236885303112064,0.8325816920054112,0.8297631499915952,0.7977356444638841,-0.002818542013816039,0.26400571845316,True
15.0,0.02,0.2,42,0.6020099478771002,0.5993127147028905,0.6264425537045836,-0.002697233174209668,0.8135025395236064,0.8129907305011198,0.7820195591812182,-0.0005118090224865979,0.21367801579822931,True
15.0,0.02,0.2,123,0.6116372617107582,0.6115611592871353,0.6374653774650265,-7.610242362288133e-05,0.8568345704954752,0.8542529939745734,0.8209861519977147,-0.0025815765209017405,0.24269183468743816,True
15.0,0.02,0.2,999,0.5667811200687464,0.5650947522288083,0.5940689504488145,-0.00168636783993803,0.8325816920054112,0.8320053577531692,0.7995590444128937,-0.0005763342522420167,0.26691060552436086,True
15.0,0.02,1.0,42,0.6020099478771002,0.5970646631954099,0.6248330860530625,-0.0049452846816903095,0.8135025395236064,0.8136965694487309,0.7802488358075275,0.000194029925124517,0.21663190625332107,True
15.0,0.02,1.0,123,0.6116372617107582,0.6073818666507117,0.6341815916540058,-0.004255395060046463,0.8568345704954752,0.8513625638041562,0.8182331035193923,-0.005472006691318976,0.2439806971534445,True
15.0,0.02,1.0,999,0.5667811200687464,0.5611358884984639,0.5894238567694136,-0.005645231570282516,0.8325816920054112,0.8356024963452757,0.8007182408784195,0.0030208043398645135,0.27446660784681187,True
15.0,0.05,0.05,42,0.6020099478771002,0.5990355839917979,0.6246802530182276,-0.002974363885302256,0.8135025395236064,0.8129882273676924,0.77914355797725,-0.0005143121559140207,0.21395264337589448,True
15.0,0.05,0.05,123,0.6116372617107582,0.6100573633707296,0.6365848046009902,-0.0015798983400285849,0.8568345704954752,0.8560229180739611,0.8198046051850051,-0.0008116524215140419,0.24596555470323156,True
15.0,0.05,0.05,999,0.5667811200687464,0.5657718316823408,0.5939386333100293,-0.0010092883864055713,0.8325816920054112,0.8302849816106028,0.7960259541897199,-0.002296710394808388,0.264513149928262,True
15.0,0.05,0.2,42,0.6020099478771002,0.5986557857499759,0.6240968864041674,-0.0033541621271242494,0.8135025395236064,0.8135714204044611,0.7796646015865196,6.888088085466038e-05,0.21491563465448515,True
15.0,0.05,0.2,123,0.6116372617107582,0.6109737633602438,0.6367559292134104,-0.0006634983505143799,0.8568345704954752,0.8550959989807341,0.8194837207432009,-0.0017385715147411052,0.2441222356204903,True
15.0,0.05,0.2,999,0.5667811200687464,0.5647195251763072,0.5938497454847015,-0.002061594892439178,0.8325816920054112,0.8325057761932741,0.7976623068230831,-7.591581213706178e-05,0.26778625101696696,True
15.0,0.05,1.0,42,0.6020099478771002,0.5965908006271258,0.6250595603547942,-0.005419147249974388,0.8135025395236064,0.8144909588467888,0.7786647665926886,0.000988419323182388,0.21790015821966302,True
15.0,0.05,1.0,123,0.6116372617107582,0.6071184937970611,0.6356992346273369,-0.004518767913697097,0.8568345704954752,0.8516764980311305,0.8133732192522392,-0.005158072464344632,0.24455800423406948,True
15.0,0.05,1.0,999,0.5667811200687464,0.5612376457607346,0.5914288516894901,-0.00554347430801172,0.8325816920054112,0.8356518753743857,0.8004036248114494,0.003070183368974466,0.27441422961365103,True
15.0,0.1,0.05,42,0.6020099478771002,0.6001100417308158,0.6272074756534971,-0.0018999061462843247,0.8135025395236064,0.8139618902310732,0.778787323712171,0.0004593507074668324,0.2138518485002574,True
15.0,0.1,0.05,123,0.6116372617107582,0.6101129254326363,0.6366235923236958,-0.0015243362781218739,0.8568345704954752,0.8565248752764676,0.8212416527561113,-0.00030969521900758856,0.2464119498438313,True
15.0,0.1,0.05,999,0.5667811200687464,0.567286112100871,0.5942777694937322,0.0005049920321246182,0.8325816920054112,0.8312173515865476,0.7988878611354735,-0.0013643404188635744,0.26393123948567665,True
15.0,0.1,0.2,42,0.6020099478771002,0.5989218513870329,0.6272480055488642,-0.003088096490067249,0.8135025395236064,0.8137490791822181,0.7789804337105887,0.0002465396586116553,0.21482722779518515,True
15.0,0.1,0.2,123,0.6116372617107582,0.6113243616001369,0.6381098289824295,-0.00031290011062123924,0.8568345704954752,0.8559077391026841,0.8208442143478144,-0.0009268313927910388,0.24458337750254722,True
15.0,0.1,0.2,999,0.5667811200687464,0.5669718565301018,0.5945015064842433,0.0001907364613554785,0.8325816920054112,0.8333735252444134,0.800186527212415,0.0007918332390022265,0.2664016687143116,True
15.0,0.1,1.0,42,0.6020099478771002,0.5968441504579456,0.6244124207940271,-0.005165797419154572,0.8135025395236064,0.8149295297391654,0.7803996399878182,0.001426990215559032,0.21808537928121985,True
15.0,0.1,1.0,123,0.6116372617107582,0.6083526700596783,0.6356474880996367,-0.00328459165107986,0.8568345704954752,0.8513393807136307,0.8153727951337855,-0.0054951897818444895,0.2429867106539524,True
15.0,0.1,1.0,999,0.5667811200687464,0.5624843598533201,0.5906987013824526,-0.004296760215426243,0.8325816920054112,0.8367897325803275,0.8027966416401682,0.004208040574916305,0.2743053727270074,True
15.0,0.3,0.05,42,0.6020099478771002,0.6006588429539839,0.6259615561446676,-0.0013511049231162975,0.8135025395236064,0.8128009464854591,0.7804712669211621,-0.000701593038147319,0.21214210353147522,True
15.0,0.3,0.05,123,0.6116372617107582,0.6091853147880839,0.6385326719259752,-0.002451946922674253,0.8568345704954752,0.855811520348803,0.822923804391225,-0.0010230501466721442,0.24662620556071913,True
15.0,0.3,0.05,999,0.5667811200687464,0.5687058253959325,0.5937171825173646,0.001924705327186138,0.8325816920054112,0.8316342329261062,0.797238632953949,-0.0009474590793050464,0.26292840753017366,True
15.0,0.3,0.2,42,0.6020099478771002,0.5995744474628992,0.6247140570101599,-0.0024355004142009307,0.8135025395236064,0.8133782740229301,0.7812431766726318,-0.000124265500676346,0.21380382656003083,True
15.0,0.3,0.2,123,0.6116372617107582,0.6105687955229077,0.6401328735585151,-0.001068466187850503,0.8568345704954752,0.8551641990905614,0.8228953403306516,-0.001670371404913773,0.24459540356765375,True
15.0,0.3,0.2,999,0.5667811200687464,0.5676852619820361,0.5934968611786907,0.0009041419132896911,0.8325816920054112,0.8334920642006349,0.799610931417441,0.0009103721952237187,0.26580680221859887,True
15.0,0.3,1.0,42,0.6020099478771002,0.598388073969688,0.6248354902025938,-0.0036218739074121986,0.8135025395236064,0.8158049091988357,0.7792805399367376,0.002302369675229343,0.2174168352291478,True
15.0,0.3,1.0,123,0.6116372617107582,0.6085829798170761,0.637215549838356,-0.003054281893682065,0.8568345704954752,0.8514457573860452,0.8176806941695728,-0.005388813109429957,0.24286277756896912,True
15.0,0.3,1.0,999,0.5667811200687464,0.5622624230618374,0.5900206986339425,-0.004518697006908989,0.8325816920054112,0.836469201332164,0.8020175118245474,0.003887509326752747,0.2742067782703266,True
15.0,0.5,0.05,42,0.6020099478771002,0.6010538955298037,0.6300705163505356,-0.0009560523472964544,0.8135025395236064,0.8128254509652717,0.7822725131584086,-0.0006770885583347042,0.211771555435468,True
15.0,0.5,0.05,123,0.6116372617107582,0.6088764682968,0.6371783804490397,-0.0027607934139581847,0.8568345704954752,0.8544093441959902,0.8172419781927714,-0.0024252262994849394,0.24553287589919026,True
15.0,0.5,0.05,999,0.5667811200687464,0.5690910717760205,0.5946964513680555,0.002309951707274105,0.8325816920054112,0.8310374573281751,0.7992784789637447,-0.0015442346772360782,0.26194638555215466,True
