null_error,k_predict,k_shuffle,noise_fraction,seed
16.94834260932972,30,50,0.1,42
18.91089358233817,30,50,0.1,42
15.61505170852115,30,50,0.1,42
16.145013613606658,30,50,0.1,42
16.36532181639311,30,50,0.1,42
19.224534924117158,30,50,0.1,42
17.352604988125503,30,50,0.1,42
17.81271798826102,30,50,0.1,42
17.692390889440762,30,50,0.1,42
17.523380318056763,30,50,0.1,42
17.07782829066035,30,50,0.1,42
17.604692534435447,30,50,0.1,42
16.961954194402708,30,50,0.1,42
17.161689344056093,30,50,0.1,42
16.795087977059005,30,50,0.1,42
16.221741656374366,30,50,0.1,42
16.591497958771775,30,50,0.1,42
16.23730101696074,30,50,0.1,42
16.291024162397317,30,50,0.1,42
17.03814149863701,30,50,0.1,42
16.62424260937742,30,50,0.1,42
18.010158556199762,30,50,0.1,42
16.439326614473742,30,50,0.1,42
18.251482472769254,30,50,0.1,42
15.506555079129718,30,50,0.1,42
16.72359823676456,30,50,0.1,42
16.503585164323034,30,50,0.1,42
16.870285008383462,30,50,0.1,42
15.98409785699153,30,50,0.1,42
17.53063620946085,30,50,0.1,42
15.752013281868635,30,50,0.1,42
17.314893222299403,30,50,0.1,42
17.57292578401177,30,50,0.1,42
15.51246308322176,30,50,0.1,42
17.263887886713796,30,50,0.1,42
15.938920691424523,30,50,0.1,42
18.49147255065868,30,50,0.1,42
16.001859094108465,30,50,0.1,42
18.495717986149348,30,50,0.1,42
16.553625221191226,30,50,0.1,42
17.87262260102421,30,50,0.1,42
15.947507597095974,30,50,0.1,42
17.053657005504796,30,50,0.1,42
17.267834247847066,30,50,0.1,42
16.4453902081858,30,50,0.1,42
16.77639308780298,30,50,0.1,42
17.290106248676615,30,50,0.1,42
16.525522711913908,30,50,0.1,42
17.346928544768065,30,50,0.1,42
16.64034179350468,30,50,0.1,42
16.528259954511416,30,50,0.1,42
16.185407825968458,30,50,0.1,42
19.277823205837223,30,50,0.1,42
16.24724691128021,30,50,0.1,42
16.8449096316771,30,50,0.1,42
17.039737513368742,30,50,0.1,42
15.266241230635405,30,50,0.1,42
15.599991026619083,30,50,0.1,42
17.115642748451236,30,50,0.1,42
16.777472452226448,30,50,0.1,42
16.485392978548568,30,50,0.1,42
18.669691915311162,30,50,0.1,42
17.795134341971266,30,50,0.1,42
15.851238287557951,30,50,0.1,42
16.857920152030584,30,50,0.1,42
17.389874356035346,30,50,0.1,42
15.85968679807973,30,50,0.1,42
15.458638183789473,30,50,0.1,42
17.35816120016875,30,50,0.1,42
16.55082573048079,30,50,0.1,42
17.15056586214921,30,50,0.1,42
17.26233522795142,30,50,0.1,42
17.652461717904725,30,50,0.1,42
15.847939962157165,30,50,0.1,42
17.40867125501032,30,50,0.1,42
17.36105757656707,30,50,0.1,42
16.941268627235573,30,50,0.1,42
16.48899691288218,30,50,0.1,42
16.07358429385273,30,50,0.1,42
17.562655520140922,30,50,0.1,42
17.602440699255066,30,50,0.1,42
16.967080222816612,30,50,0.1,42
16.778155201131632,30,50,0.1,42
15.014415115289236,30,50,0.1,42
17.644004919280327,30,50,0.1,42
