star_index,delta_R_signed,delta_R_abs,R_after,E_real_after,source_id,ruwe,aen,phot_g_mean_mag
201,-0.008122480551477,0.008122480551477,0.8356854475710983,14.097148403769236,4.518165150084851e+16,1.1102312,,16.652367
202,-0.0025363679966836,0.0025363679966836,0.8412715601258917,14.203254907527183,4.605686275671232e+16,1.1109091,,14.36735
203,-0.0023281719640405,0.0023281719640405,0.8414797561585348,14.226454088140471,4.664486096078234e+16,1.1629097,,17.298828
204,-0.0026416289311125,0.0026416289311125,0.8411662991914628,14.226454088140471,4.900558114411878e+16,0.99531126,,8.424586
205,-0.000589220123118,0.000589220123118,0.8432187079994573,14.166734701082556,5.474901757199603e+16,1.1003746,,8.992449
206,0.0044916604348197,0.0044916604348197,0.8482995885573951,14.267154858687086,5.686166044275187e+16,1.2799835,,15.005209
207,0.0029840359195191,0.0029840359195191,0.8467919640420944,14.267154858687086,6.155746844800422e+16,1.1507385,,13.806926
208,-0.0022981463142449,0.0022981463142449,0.8415097818083304,14.166734701082556,6.254929665608294e+16,1.3211685,,14.353294
209,-0.0050757572377365,0.0050757572377365,0.8387321708848388,14.166734701082556,6.511974868296691e+16,1.169533,,10.236533
210,0.0023791519744753,0.0023791519744753,0.8461870800970507,14.267154858687086,6.537139940774976e+16,1.0670162,,8.645234
211,-0.0025403781732923,0.0025403781732923,0.841267549949283,14.226454088140471,1.4532554851651328e+17,1.0492755,,8.648896
212,-0.003099419298767,0.003099419298767,0.8407085088238083,14.166734701082556,1.4558341835321818e+17,1.1323928,,13.123557
213,-0.0011391820714389,0.0011391820714389,0.8426687460511364,14.226454088140471,1.4772100210004147e+17,1.1486603,,14.147766
214,-0.0018659744052508,0.0018659744052508,0.8419419537173245,14.166734701082556,1.4888525177189133e+17,1.0243918,,17.417719
215,-0.0022192875560254,0.0022192875560254,0.8415886405665499,14.226454088140471,1.4931309923471168e+17,1.0086342,,7.0662723
216,0.0001241743699972,0.0001241743699972,0.8439321024925726,14.226454088140471,3.2752197435568256e+18,1.1238166,,14.948189
217,-0.0053701356716435,0.0053701356716435,0.8384377924509318,14.166734701082556,3.297465681285849e+18,1.0216279,,15.948914
218,-0.001891319405635,0.001891319405635,0.8419166087169403,14.226454088140471,3.300934223858467e+18,0.8388157,,6.98168
219,0.0018075413050516,0.0018075413050516,0.845615469427627,14.267154858687086,3.304090857318319e+18,1.130613,,13.886915
220,-0.0035706247835574,0.0035706247835574,0.8402373033390179,14.166734701082556,3.304528291149024e+18,1.1564746,,14.506033
221,-0.0037060682048717,0.0037060682048717,0.8401018599177036,14.166734701082556,3.305831143707155e+18,1.1183785,,13.427269
222,-0.004121540526212,0.004121540526212,0.8396863875963633,14.166734701082556,3.306104544145237e+18,0.9651212,,8.573483
223,-0.0006853711262363,0.0006853711262363,0.843122556996339,14.226454088140471,3.306849703791333e+18,1.308712,,13.916038
224,-0.0024598202680922,0.0024598202680922,0.8413481078544831,14.226454088140471,3.3075280337462257e+18,0.99017215,,6.5178695
225,-0.002296865860313,0.002296865860313,0.8415110622622622,14.226454088140471,3.307645131734449e+18,1.1209549,,10.08551
226,-0.0034778549506754,0.0034778549506754,0.8403300731718999,14.166734701082556,3.3091149726223846e+18,1.107468,,11.800917
227,-0.0057273377826423,0.0057273377826423,0.838080590339933,14.166734701082556,3.309974344039456e+18,1.1719139,,14.388778
228,-0.0013089485359543,0.0013089485359543,0.842498979586621,14.226454088140471,3.410640887035453e+18,1.1435659,,10.12441
229,-0.0022838795893088,0.0022838795893088,0.8415240485332665,14.226454088140471,3.4112743088105626e+18,1.1967921,,13.992728
230,-0.002604355210648,0.002604355210648,0.8412035729119273,14.166734701082556,9207142867979264.0,1.1962527,,15.036983
231,0.0129603752134042,0.0129603752134042,0.8567683033359795,14.429759608229274,1.1279894084985344e+16,1.1809788,,13.714016
232,-0.0013051335412538,0.0013051335412538,0.8425027945813215,14.226454088140471,1.2812853812343168e+16,1.2157973,,13.850189
233,-0.0031912943025884,0.0031912943025884,0.8406166338199869,14.166734701082556,1.642681109379776e+16,1.0196385,,15.922812
234,-0.0037492973369291,0.0037492973369291,0.8400586307856461,14.166734701082556,3.703069692774182e+16,1.093891,,13.4134655
235,0.0006441506977049,0.0006441506977049,0.8444520788202803,14.226454088140471,3.938732830276864e+16,1.0012823,,16.62413
236,-0.0084300481441271,0.0084300481441271,0.8353778799784481,14.097148403769236,4.145516607709696e+16,1.0027472,,15.49641
237,-0.002038734782283,0.002038734782283,0.8417691933402923,14.226454088140471,4.224849807677773e+16,1.2211825,,13.861795
238,-0.0027901826305622,0.0027901826305622,0.841017745492013,14.166734701082556,4.237284596954138e+16,1.2225533,,15.229027
239,4.504078682932011e-05,4.504078682932011e-05,0.8438529689094046,14.166734701082556,4.279375276418074e+16,1.2193956,,11.065103
240,-0.0038127734247659,0.0038127734247659,0.8399951546978094,14.166734701082556,4.405217818213082e+16,1.038489,,14.841915
241,-0.0017666660877579,0.0017666660877579,0.8420412620348173,14.226454088140471,4.52935268088512e+16,1.1304576,,13.776278
242,-0.0019309072514863,0.0019309072514863,0.841877020871089,14.226454088140471,4.54041995280672e+16,1.1325415,,16.279293
243,-0.0019431629889385,0.0019431629889385,0.8418647651336367,14.226454088140471,4.584537856704832e+16,1.2179997,,13.75481
244,-0.0060546547922833,0.0060546547922833,0.8377532733302919,14.166734701082556,4.64982823163945e+16,1.2159941,,15.947894
245,-0.0010415158613609,0.0010415158613609,0.8427664122612144,14.226454088140471,4.689695835988173e+16,1.1182599,,14.224764
246,-0.0055437828692159,0.0055437828692159,0.8382641452533593,14.140910341364592,4.86042593998528e+16,0.9293044,,9.630756
247,-0.0014158138073651,0.0014158138073651,0.8423921143152102,14.226454088140471,4.912419096127066e+16,1.1433353,,14.746433
248,-0.001614887839027,0.001614887839027,0.8421930402835482,14.226454088140471,5.217134999994163e+16,1.3071724,,14.156531
249,-0.001597246590642,0.001597246590642,0.8422106815319332,14.166734701082556,5.369276055733734e+16,1.0593919,,17.805786
250,-0.0019756994543412,0.0019756994543412,0.841832228668234,14.226454088140471,5.394225091469747e+16,0.9663456,,9.199288
251,0.0030906732186092,0.0030906732186092,0.8468986013411846,14.267154858687086,5.409971729812173e+16,1.1618521,,14.129333
252,-0.002574950729038,0.002574950729038,0.8412329773935373,14.166734701082556,5.508082956499699e+16,1.292255,,13.924292
