cluster,bootstrap_id,R,real_error,null_mean
pleiades,63,2.480275771361464e-05,1.8098631759567066e-05,0.7297023971504761
pleiades,64,2.5570757938761803e-05,1.8852027605319365e-05,0.737249464817085
pleiades,65,2.369513523597762e-05,1.757076170309602e-05,0.741534560917693
pleiades,66,2.7173100476183365e-05,1.9827219082630667e-05,0.7296634809858668
pleiades,67,2.9987632083998694e-05,2.195822516662911e-05,0.7322427161011472
pleiades,68,2.387708125649032e-05,1.8251410119360803e-05,0.7643903341158863
pleiades,69,2.48998966566057e-05,1.815948733180653e-05,0.7292997068318754
pleiades,70,2.541933678833763e-05,1.8914437485286576e-05,0.7440964193040829
pleiades,71,2.6134430856733755e-05,1.9373798350862296e-05,0.7413131916691607
pleiades,72,2.4970210999292484e-05,1.8965803153963104e-05,0.7595371602787213
pleiades,73,3.495447755435542e-05,2.5501931333008264e-05,0.729575525577571
pleiades,74,2.3868500341033378e-05,1.7804609314038885e-05,0.7459458725787731
pleiades,75,3.106406201430022e-05,2.3160897512441766e-05,0.7455849625132649
pleiades,76,2.6384247326576086e-05,1.9504770158929637e-05,0.7392581610347113
pleiades,77,2.818203118198592e-05,2.1010425358454487e-05,0.7455255876618447
pleiades,78,2.2646188900567653e-05,1.711653592282696e-05,0.7558241255506756
pleiades,79,2.6316486037187023e-05,1.889137954307001e-05,0.7178534214778971
pleiades,80,2.580842865137968e-05,1.9750958956875458e-05,0.7652910304486747
pleiades,81,2.4577312584624744e-05,1.87213936090072e-05,0.7617347724469707
pleiades,82,2.6919540812790073e-05,1.996711243898716e-05,0.7417330250113457
pleiades,83,2.0311007644917027e-05,1.4782671014222328e-05,0.7278157377840284
pleiades,84,2.741411195583614e-05,1.9453716622422975e-05,0.7096241765468353
pleiades,85,3.0796705466099235e-05,2.2319167404814035e-05,0.7247258129406989
pleiades,86,2.9800177535382692e-05,2.2666306396695023e-05,0.7606097772331256
pleiades,87,2.6025094156608877e-05,1.8472284666516944e-05,0.7097874288314936
pleiades,88,1.835256341237688e-05,1.3451930060322557e-05,0.7329728146450998
pleiades,89,2.4145811403593563e-05,1.7864877735209595e-05,0.7398748145838168
pleiades,90,2.676837927688402e-05,2.0087986630896197e-05,0.7504371640551016
pleiades,91,2.651122732767152e-05,1.9021370136804242e-05,0.7174835740988265
pleiades,92,2.3091004571247714e-05,1.6673340022331642e-05,0.7220707947497801
pleiades,93,2.3866036739805186e-05,1.737298722941968e-05,0.7279376722170207
pleiades,94,2.8956982511504777e-05,2.1069960313358714e-05,0.7276296936321834
pleiades,95,3.4417002599672626e-05,2.5970032381957674e-05,0.754569846887384
pleiades,96,3.433804240660471e-05,2.5111961784273812e-05,0.7313160571857084
pleiades,97,3.0396949095877974e-05,2.3054807476832323e-05,0.758457942740007
pleiades,98,3.193684506711373e-05,2.431977741302982e-05,0.7614959261606143
pleiades,99,2.473665668902658e-05,1.811334651983854e-05,0.7322471564184256
pleiades,100,2.7950402604793628e-05,2.0626965418362863e-05,0.7379845546419871
hyades,1,4.661898190295181e-06,8.262523585593408e-05,17.723517864018916
hyades,2,4.785824579111653e-06,8.643902045029105e-05,18.06146861871312
hyades,3,5.636600910813655e-06,0.0001018602684730815,18.071222370500905
hyades,4,6.307798418723188e-06,0.00011993564528571426,19.01386780682687
hyades,5,5.5681974791335044e-06,0.00010848545141857987,19.483046681645682
hyades,6,5.046148021534826e-06,9.759600021183595e-05,19.340693098049737
hyades,7,6.022280681736451e-06,0.00010883930950111523,18.072772634325762
hyades,8,5.082922769785466e-06,0.00010143897868393794,19.95682076598212
hyades,9,5.0011714393533744e-06,9.552657551510247e-05,19.100840007886944
hyades,10,5.1789276127958555e-06,9.596677134402241e-05,18.53023994907983
hyades,11,4.230754321572585e-06,8.733586623611055e-05,20.64309567463788
hyades,12,4.619356616303136e-06,9.395621634913543e-05,20.339675879869272
hyades,13,4.609661968847596e-06,8.890787243292752e-05,19.287286797551072
hyades,14,5.973796218677649e-06,0.00012115796896651823,20.28157046731962
hyades,15,4.2850282128547925e-06,8.382282176708618e-05,19.561789935390255
hyades,16,4.637214813810636e-06,7.942048374245845e-05,17.12676400194508
hyades,17,4.33087114567504e-06,8.980601284667084e-05,20.736246779439348
hyades,18,5.060951563028568e-06,8.76941138461537e-05,17.32759398188666
hyades,19,4.73273732407704e-06,9.683947390124816e-05,20.461620256969027
hyades,20,5.403503150249366e-06,0.00010139707000595717,18.765061699145637
hyades,21,5.870282207625514e-06,0.00011339860857454119,19.31740324634411
hyades,22,5.800292388313662e-06,0.00011864755426090448,20.455443677279735
hyades,23,4.73343110248009e-06,9.458998801722126e-05,19.983387519395954
hyades,24,5.962824198327814e-06,0.00011921548136909032,19.993123627981944
hyades,25,6.111759980051947e-06,0.0001130362758531125,18.494881379839747
hyades,26,4.83727872735034e-06,9.503277262526839e-05,19.645916223091692
hyades,27,5.514921176530012e-06,0.00010963016389219283,19.878826982831352
hyades,28,5.223389686861105e-06,0.00010497613896114465,20.097320945668912
hyades,29,5.1525667002272305e-06,0.00010278379428872853,19.9480764187285
hyades,30,5.132932098631132e-06,9.644644464846843e-05,18.789737092799086
hyades,31,4.371579308977824e-06,8.18729628865785e-05,18.728463353835913
hyades,32,4.318756525969387e-06,9.399852066324302e-05,21.765181736459233
hyades,33,6.614945276748642e-06,0.00012896575662269406,19.496118445001397
hyades,34,4.161123650874489e-06,7.851142892435901e-05,18.867843282633352
hyades,35,4.453370435302054e-06,8.776875062915266e-05,19.708387591880097
hyades,36,5.542952324187355e-06,0.00011186772572370263,20.181975088537932
hyades,37,6.243984625100951e-06,0.00011550504286994899,18.498611032066968
hyades,38,4.629438620153133e-06,0.0001010722579862247,21.832508491684337
hyades,39,5.929450265857321e-06,0.00011307131519397502,19.069443223945548
hyades,40,4.320815210694096e-06,7.944572096548776e-05,18.386743494342955
hyades,41,6.601121335823622e-06,0.0001316664655317135,19.94607564887087
hyades,42,5.967880955265375e-06,0.00011344621325346213,19.009463175261594
hyades,43,4.265584953058966e-06,8.038923326267295e-05,18.846004509891117
hyades,44,4.755443453055171e-06,8.834149982284052e-05,18.57692152055448
hyades,45,5.1850829865947014e-06,0.00010862045571195046,20.948643636519083
hyades,46,7.090560333558926e-06,0.00014017214153682394,19.76883841935636
hyades,47,5.005657531538005e-06,0.00010072586090267502,20.12240355398957
hyades,48,4.657082816126931e-06,8.883485020766326e-05,19.075213758286328
hyades,49,5.795859305318235e-06,0.00011786320950050777,20.33576097893843
