star_index,delta_R_abs,spatial_offset_pc,projected_3d_outflow_kms,group
725,0.0002265933994368,21.884657947526474,-4.940978714538748,Bottom-50
48,0.0002329625024974,16.884070856411128,-4.946685704215925,Bottom-50
586,0.0002367336656383,17.341627216413652,1.3915245777240584,Bottom-50
569,0.0002395828332588,10.248175744116631,-12.732718007917798,Bottom-50
18,0.0002691125814948,9.40295489862054,3.567467025265901,Bottom-50
303,0.000272727264106,13.555103130827856,-19.787496180261737,Bottom-50
153,0.0002790319984903,4.32429180530502,25.363304048231992,Bottom-50
616,0.0002876376630785,5.085657445320029,-2.9553166001886497,Bottom-50
92,0.0002919747523428,18.140420854815364,-17.296068514046627,Bottom-50
89,0.0003275897134192,10.035754827984919,-2.950426355158489,Bottom-50
75,0.000331502015311,8.806848414569224,-4.419464418166064,Bottom-50
81,0.0003327823978125,7.2259058967396514,-11.871077129055873,Bottom-50
454,0.0003371663118271,10.153857868580578,-18.66117946551136,Bottom-50
134,0.0003545118956052,18.64260988286021,1.5060625811785362,Bottom-50
505,0.0003606644823831,16.797169191588715,-11.451434034422096,Bottom-50
171,0.0003748615651949,6.056156640101706,-0.49998865378295976,Bottom-50
316,0.0004130111315777,9.989635664252434,6.310904002583459,Bottom-50
578,0.0004281776976416,7.961431807733056,-16.71639633784843,Bottom-50
753,0.0004291519587795,13.780620508072017,6.030902384065682,Bottom-50
670,0.000433040650961,13.169183761819518,-32.461173136525105,Bottom-50
496,0.0004491800581636,12.12704049195811,-10.60305425078088,Bottom-50
435,0.0005139248996286,16.08332718272472,-11.869897252722547,Bottom-50
552,0.000516423243928,15.512831324527928,-12.98607044907112,Bottom-50
549,0.0005194497111893,13.53506809936345,77.33720235425938,Bottom-50
297,0.000526435478617,12.08920714909452,14.045890365050077,Bottom-50
484,0.0005305645296822,17.314356881394865,-7.606308524008609,Bottom-50
627,0.0005410969451886,10.494658998927921,-28.731989335480133,Bottom-50
49,0.00054982832246,15.863210744688226,16.54717791713876,Bottom-50
311,0.0005757851840291,13.885269266986732,-7.125779075974645,Bottom-50
781,0.0005825684101956,8.0177202171536,-10.601346632175673,Bottom-50
