dr2_source_id,dr3_source_id,angular_distance,Proba
65275089060719104,65275089060719104,0.08628724,1.0
65277975278721408,65277975278721408,0.19365612,1.0
65279418387728896,65279418387728896,0.06414943,1.0
65281166437426176,65281166437426176,0.13389733,1.0
65281239453865856,65281239453865856,0.13248006,0.9
65282098447322752,65282098447322752,0.15598668,0.9
65283094877491200,65283094877491200,0.28355587,1.0
65284469269256704,65284469269256704,0.11004087,1.0
65287458566524928,65287458566524928,0.38780937,1.0
65289004754691200,65289004754691200,0.10083292,1.0
65289279632597760,65289279632597760,0.123505145,1.0
65289279632598016,65289279632598016,0.049768064,1.0
65289623229979136,65289623229979136,0.11935346,1.0
65292268929825408,65292268929825408,0.031683113,1.0
65293368441513344,65293368441513344,0.06535231,1.0
65295425728422528,65295430026352512,0.062918484,1.0
65296357738731008,65296357738731008,0.22098318,1.0
65297251091930624,65297251091930624,0.12398684,0.9
65298208867376384,65298208867376384,0.12483187,0.9
65299965511216384,65299965511216384,0.07538003,1.0
65304604076598784,65304604076598784,0.06847207,1.0
65330099002345216,65330099002345216,0.116823256,1.0
65349684053273600,65349684053273600,0.15338285,1.0
65393698877913728,65393698877913728,0.07983533,1.0
65419434321982464,65419434321982464,0.1283286,1.0
65434518247043072,65434518247043072,0.04713784,1.0
65435102362687616,65435102362687616,0.07237476,1.0
65437644983223936,65437644983223936,0.17655084,1.0
65437644983224320,65437644983224320,0.20592766,1.0
65471729844532864,65471729844532864,0.065832004,1.0
65506467539939584,65506467539939584,0.22666834,1.0
65544538129847936,65544538129847936,0.19534668,1.0
65552681387907200,65552681387907200,0.19595797,1.0
65561473183104640,65561473183104640,0.17626739,1.0
65588484235454592,65588484235454592,0.07376111,1.0
65603946117575936,65603946117575936,0.12777369,1.0
65605354866829184,65605354866829184,0.09086139,1.0
65641913628380288,65641913628380288,0.07273638,0.9
65671634801986048,65671634801986048,0.13592136,0.9
65673593307063552,65673593307063552,0.054188903,1.0
65674383581036800,65674383581036800,0.111538224,1.0
65677372878285312,65677372878285312,0.11157834,1.0
65680499614460800,65680499614460800,0.08451277,1.0
65688539793220480,65688539793220480,0.21144274,1.0
65699564971805184,65699569269925888,0.07500305,1.0
65701527774387840,65701527774387840,0.1881716,1.0
65720734868130816,65720734868130816,0.15749082,1.0
65732447241199744,65732447241199744,0.1272673,1.0
65750627840192256,65750627840192256,0.096446775,1.0
65772789871345024,65772789871345024,0.06786565,0.9
65775195052996608,65775195052996608,0.28758466,1.0
65783029073414144,65783029073414144,0.10846178,1.0
65787289680918528,65787289680918528,0.04672632,1.0
65800930496992512,65800930496992512,0.12593924,0.9
65819965792011904,65819965792011904,0.13637479,1.0
65823676643738368,65823676643738368,0.12743615,1.0
65844361206181376,65844361206181376,0.06516217,1.0
65864427293364864,65864427293364864,0.111490406,0.9
65864427293364992,65864427293364992,0.23986043,1.0
65945997312877952,65945997312877952,0.0703843,1.0
66167205308371328,66167205308371328,0.1784128,1.0
66429232674604544,66429232674604544,0.026601512,1.0
66441323003146112,66441323003146112,0.07629719,1.0
66445038154189952,66445038154189952,0.16798237,0.9
66451429065390080,66451429065390080,0.25696692,1.0
66451497784867712,66451497784867712,0.03054065,1.0
66452047540860160,66452047540860160,0.04847409,1.0
66452734735432192,66452734735432192,0.07715449,1.0
66452769091505024,66452769091505024,0.1360631,1.0
66453181412027392,66453181412027392,0.29083815,1.0
66453490649681280,66453490649681280,0.10129942,1.0
66460225158376192,66460225158376192,0.15113573,1.0
66462939577861248,66462939577861248,0.063149296,1.0
66468918172339328,66468918172339328,0.06137037,1.0
66469742806047744,66469742806047744,0.1614178,0.9
66470567439742208,66470567439742208,0.06457639,1.0
66471220274934272,66471220274934272,0.10413532,1.0
66473178779856768,66473178779856768,0.1929585,1.0
66480944080770176,66480944080770176,0.0847846,1.0
66481734354737792,66481734354737792,0.061418276,1.0
66481837433947392,66481837433947392,0.1186662,1.0
66482868226100096,66482868226100096,0.075390644,1.0
66483761579269888,66483761579269888,0.096070126,1.0
66483795939004416,66483795939004416,0.046270903,1.0
66489259137570816,66489259137570816,0.10026009,1.0
66490977124308352,66490977124308352,0.19411343,1.0
66497952151148544,66497952151148544,0.19129527,0.9
66499154741977216,66499154741977216,0.11724505,1.0
66501181966524800,66501181966524800,0.1371852,1.0
66503449709270400,66503449709270400,0.021843653,1.0
66506331628024832,66506331628024832,0.032079242,1.0
66507469794885120,66507469798631936,0.11870845,1.0
66507469798631808,66507469798631808,0.14881577,1.0
66509771901085696,66509771901085696,0.13138834,1.0
66511970924353792,66511970924353792,0.121408895,1.0
66512074003566976,66512074003566976,0.036405053,1.0
66515922294233728,66515922294233728,0.04186575,0.9
66517468482370176,66517468482370176,0.0627885,1.0
66517468482370304,66517468482370304,0.13860187,1.0
66521179334108928,66521179334108928,0.11821649,1.0
66521381194879232,66521381194879232,0.04724578,1.0
66522107047046656,66522107047046656,0.12683581,1.0
66522137109124096,66522137109124096,0.10608544,1.0
66522381924952704,66522381924952704,0.12776873,1.0
66523103479455744,66523103479455744,0.096402854,0.9
66523893753437824,66523893753437824,0.07530304,1.0
66531178017967872,66531178017967872,0.07100246,1.0
66533170882790784,66533170882790784,0.03750659,1.0
66536331978799616,66536331978799616,0.093104795,1.0
66537981246228096,66537981246228096,0.090741694,0.9
66539252556578816,66539252556578816,0.0776022,1.0
66541142342159232,66541142342159232,0.09730131,0.9
66542551091588352,66542551091588352,0.119006135,0.9
66546742979468416,66546742979468416,0.14116208,1.0
66551686483467904,66551686483467904,0.08630676,1.0
66553443128503552,66553443128503552,0.039914344,1.0
66555573432261120,66555573432261120,0.10189354,0.9
66555573432261376,66555573432261376,0.1226044,1.0
66555985749157760,66555985749157760,0.13116252,1.0
66556535504957568,66556535504957568,0.03721527,1.0
66556535504958848,66556535504958848,0.12963969,1.0
66558249192653952,66558249192653952,0.06973378,1.0
66560349435890176,66560349435890176,0.12938644,0.9
66560727393001216,66560727393001216,0.16962995,0.9
66565365957676416,66565365957676416,0.1860609,1.0
66565778274538624,66565778274538624,0.1159007,1.0
66566946505629440,66566946505629440,0.08754759,1.0
66570554277316992,66570554277316992,0.115580246,1.0
66581549393480704,66581549393480704,0.06655887,1.0
66581961710329984,66581961710329984,0.15533678,1.0
66593437863017984,66593437863017984,0.08032248,0.9
66597767189992832,66597767189992832,0.13490409,0.9
66612473157921024,66612473157921024,0.087089024,0.9
66640712564777856,66640712564777856,0.1037374,1.0
66642641008348416,66642641008348416,0.23371568,1.0
66648001127514368,66648001127514368,0.18682522,1.0
66649409876772096,66649409876772096,0.31879416,1.0
66652467893487488,66652467893487488,0.07078256,1.0
66655560269868544,66655560269868544,0.052125257,1.0
66657415695597056,66657415696297344,0.14399455,1.0
66658240329321088,66658240329321088,0.16705823,0.9
66658996243552000,66658996243552000,0.08611313,0.9
66659271121456768,66659271121456768,0.1903748,1.0
66659408560406528,66659408560406528,0.040231045,0.9
66665902550940672,66665902550940672,0.14323339,1.0
66665902550940800,66665902550940800,0.22262488,0.9
66671468828544384,66671468828544384,0.29059088,1.0
66694455493470464,66694455493470464,0.052801613,1.0
66702048995630848,66702048996405632,0.17577577,1.0
66710845088732160,66710845088732160,0.1281365,1.0
66710948167949696,66710948167949696,0.117557384,1.0
66711532283494656,66711532283494656,0.16846615,1.0
66712253837994880,66712253837994880,0.21197005,1.0
66714418501518848,66714418501518848,0.3223694,0.9
66715105696289024,66715105696289024,0.2428274,1.0
66715273197982848,66715273197982848,0.115536004,1.0
66715827250786432,66715827250786432,0.061252777,1.0
66716136488429312,66716136489019008,0.21375175,1.0
66717987616472704,66717987616472704,0.28316918,1.0
66719194505127168,66719194505127168,0.0068997433,1.0
66719228864863360,66719228864863360,0.03881047,0.9
66720294016753280,66720294016753280,0.11084464,1.0
66720534534913792,66720534534913792,0.050279684,1.0
66722355601033600,66722355601033600,0.06472526,1.0
66727234683931520,66727234683931520,0.10341105,1.0
66728089380491648,66728089380491648,0.21934167,0.9
66728089380492160,66728089380492160,0.2337238,0.9
66728128034922624,66728128034922624,0.16300571,0.9
66728265476081408,66728265476081408,0.14552703,1.0
66729261908482048,66729261908482048,0.111288235,1.0
66729635568719872,66729635568719872,0.15160458,0.9
66729674225341696,66729674225341696,0.11717323,0.9
66729880383767168,66729880383767168,0.2343085,1.0
66730120901930240,66730120901930240,0.1087191,1.0
66732423004453376,66732423004453376,0.056505397,1.0
66733763034205696,66733763034205696,0.14095293,1.0
66734720809017856,66734720809017856,0.11300222,1.0
66735446661374976,66735446661374976,0.09529953,1.0
66737095928811648,66737095928811648,0.13252133,1.0
66737405166459264,66737405166459264,0.07661385,1.0
66737576965143296,66737576965143296,0.12551029,1.0
66738023641737088,66738023641737088,0.16426699,0.9
66739982146803456,66739982146803456,0.080069944,1.0
66740497542906368,66740497542906368,0.1258871,1.0
66741116018188416,66741116018188416,0.12440437,1.0
66742765285619584,66742765285619584,0.089962214,1.0
66745170467302656,66745170467302656,0.08100008,1.0
66745617143891968,66745617143891968,0.181115,1.0
66745754582838272,66745754582838272,0.056316685,1.0
66747816167123712,66747816167123712,0.096326105,0.9
66749121837171840,66749121837171840,0.13357079,1.0
66753038847347456,66753038847347456,0.105894186,1.0
66754241438299520,66754241438299520,0.12844832,1.0
66755959425257856,66755959425257856,0.09420378,1.0
66757746131459200,66757746131459200,0.06302883,1.0
66761903659793152,66761903659793152,0.085870594,1.0
66763965244167808,66763965244167808,0.097610496,1.0
66765751950550144,66765751950550144,0.21591741,1.0
66765855029760768,66765855029760768,0.17461048,1.0
66767843597097856,66767843597097856,0.019948708,1.0
66771146429454592,66771146429454592,0.112795666,1.0
66771764904729984,66771764904729984,0.26561785,1.0
66774513683782912,66774513683782912,0.08329163,1.0
66779358406877568,66779358406877568,0.09610901,1.0
66779564565300224,66779564565300224,0.098746985,1.0
66781316909399424,66781316909399424,0.0820652,1.0
66781832308018176,66781832308018176,0.055508852,1.0
66782897460055424,66782897460055424,0.047168583,1.0
66783584654831872,66783584654831872,0.10260564,1.0
66786505232432512,66786505232432512,0.19118644,1.0
66786539592171392,66786539592171392,0.0636569,1.0
66787119410915072,66787119410915072,0.06588002,1.0
66788291938818304,66788291938818304,0.068409294,1.0
66788669895935616,66788669895935616,0.086272046,1.0
66791624833561856,66791624833561856,0.1162094,0.9
66791659193405952,66791659193405952,0.18926668,1.0
66792999222948992,66792999222948992,0.12654099,1.0
66793583338514816,66793583338514816,0.06930461,1.0
66798496781121792,66798496781121792,0.24205086,1.0
66798526845337344,66798526845337344,0.12260298,1.0
66798977817468288,66798977817468288,0.14547938,1.0
66799763794633856,66799763794633856,0.06840926,1.0
66799768088857856,66799768088857856,0.10057783,1.0
66800180408292992,66800180408292992,0.0621676,1.0
66800244832257280,66800244832257280,0.26434952,1.0
66800592725150848,66800592725851776,0.0950074,1.0
66801623514684416,66801623514684416,0.036154345,1.0
66801623517295104,66801623517295104,0.22991215,0.9
66802276352348416,66802276352348416,0.075926326,1.0
66804406656115328,66804406656115328,0.14871033,0.9
66807464672814336,66807464672814336,0.063159965,1.0
66808220587051264,66808220587759104,0.037000716,1.0
66808839062339712,66808839062339712,0.10139765,1.0
