source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error
149358728964339200,67.1862306337789,24.40494515746153,23.460984277036182,47.960568680180195,-127.85689298848587,17.054653,0.986558,0.12609904,0.1515562,0.10634641
3276017095645265664,53.79235939102471,5.713855075578661,16.197502450800567,7.6849701931299546,-35.11802174111641,7.368983,0.9412901,0.03038428,0.025906758,0.024822833
3277319394153512576,57.016837094141565,7.24902138929267,16.650444287065756,184.87620861914468,-72.68947356594012,14.663408,1.1264645,0.028169967,0.050085418,0.029595984
3277579398589199616,54.530567825065006,6.57386214126218,27.05394441605023,176.414731045473,7.485253600067397,15.2894335,1.0855185,0.046504837,0.05701319,0.042256374
3296914825961790848,62.612359657020235,6.481282460012758,18.82647560566863,-97.94866617352838,-32.96671338601121,13.313228,1.1048558,0.01675154,0.0201714,0.011014971
3297281787966279424,62.98452453885958,6.542708958252387,16.49162095489573,48.14251032116533,-267.31363734435047,14.203828,1.1572468,0.023145756,0.029494137,0.022860117
3301061324826769024,65.03277275573753,11.531106892993794,15.09890489385084,146.34160610216608,3.5128410639331737,15.998837,1.2644835,0.066400856,0.06517567,0.046952803
3301922551670040064,60.93859036585157,9.502090093083183,20.561930347227552,-62.51380170412277,-55.5485584372054,10.689714,1.014756,0.01436942,0.01648236,0.010825136
3305027297628961920,59.94911017547335,12.562454631331674,17.04500263736964,46.82462911197646,-91.22335551543166,13.481202,1.2376113,0.018569082,0.0227941,0.013564064
3310702770492165120,64.83451345915711,14.316347980068391,20.850920231259277,107.93602845660209,-17.7577790655432,11.98053,1.1053181,0.016785895,0.01971493,0.016130466
3310850036330955008,66.82772736405214,13.918838594558467,16.989721589512108,-46.302616642695874,-10.955966117470158,15.130323,1.0411904,0.034058556,0.038103577,0.023659913
