realization,purity,contamination,cluster_median,field_median,delta
21,0.7,0.30000000000000004,0.7984163271649003,0.9945670544588492,0.1961507272939489
22,0.7,0.30000000000000004,0.8996104370088759,1.0292193158707283,0.12960887886185246
23,0.7,0.30000000000000004,0.797723968508915,0.9942682346288325,0.1965442661199175
24,0.7,0.30000000000000004,0.8562941724148869,0.9804306384631356,0.12413646604824868
25,0.7,0.30000000000000004,0.7431029819457833,0.9980693985647241,0.2549664166189408
26,0.7,0.30000000000000004,0.8271884000659564,1.005458187385286,0.17826978731932952
27,0.7,0.30000000000000004,0.7804327335478285,0.9984206794261375,0.21798794587830905
28,0.7,0.30000000000000004,0.7938351045984932,0.9854867398119752,0.19165163521348205
29,0.7,0.30000000000000004,0.918130290812293,0.9989071712907951,0.08077688047850207
30,0.7,0.30000000000000004,0.8875765840644583,0.9710819064515278,0.08350532238706954
31,0.7,0.30000000000000004,0.7956857921270037,0.9641178928263854,0.16843210069938164
32,0.7,0.30000000000000004,0.7591184012609515,1.0199399661105657,0.26082156484961416
33,0.7,0.30000000000000004,0.811287652462484,0.9799253250296094,0.16863767256712536
34,0.7,0.30000000000000004,0.8822495558386216,0.9823225261097883,0.10007297027116668
35,0.7,0.30000000000000004,0.8398047057574072,0.9616154560591295,0.12181075030172228
36,0.7,0.30000000000000004,0.8568566215331763,0.9839396237299836,0.12708300219680724
37,0.7,0.30000000000000004,0.8008290952530692,1.00649982714446,0.20567073189139085
38,0.7,0.30000000000000004,0.844637913395794,1.0018576875478096,0.1572197741520156
39,0.7,0.30000000000000004,0.7749277534383499,0.971342721778975,0.1964149683406251
40,0.7,0.30000000000000004,0.8460187035314644,0.9996461880497759,0.15362748451831154
41,0.7,0.30000000000000004,0.8757736286814712,1.0187241797768478,0.14295055109537658
42,0.7,0.30000000000000004,0.8146076193449295,0.9771194049143125,0.16251178556938295
43,0.7,0.30000000000000004,0.9573691001836211,1.0157134909790315,0.05834439079541043
44,0.7,0.30000000000000004,0.8683562468682233,0.9666490179736755,0.0982927711054522
45,0.7,0.30000000000000004,0.8256589225295508,1.0285888597437458,0.20292993721419506
46,0.7,0.30000000000000004,0.8924012029633223,1.0011522494535194,0.10875104649019718
47,0.7,0.30000000000000004,0.7689338617362697,0.9848809712627502,0.21594710952648055
48,0.7,0.30000000000000004,0.8089948681109141,0.9725329833751757,0.16353811526426154
49,0.7,0.30000000000000004,0.9167085422314201,0.9918712864211386,0.07516274418971858
0,0.6,0.4,0.8420598994740909,0.9921370401042118,0.1500771406301209
1,0.6,0.4,0.8413459592428643,0.9375576129562004,0.09621165371333618
2,0.6,0.4,0.8585427631548352,1.0036662328450157,0.14512346969018042
3,0.6,0.4,0.8897077741371364,0.9568980579693576,0.06719028383222114
4,0.6,0.4,0.8223919187290637,0.9975605520114446,0.17516863328238086
5,0.6,0.4,0.9100194900271361,0.9871046540205464,0.07708516399341026
6,0.6,0.4,0.8928664517206031,1.0029275874524077,0.11006113573180465
7,0.6,0.4,0.8407633989636184,0.956854360624907,0.11609096166128863
8,0.6,0.4,0.859043118510301,0.985022391381064,0.12597927287076294
9,0.6,0.4,0.9065504326060638,0.9857156471363763,0.07916521453031244
10,0.6,0.4,0.9484383267870982,0.9679423204969144,0.01950399370981626
11,0.6,0.4,0.9346472874301119,1.0032882822517968,0.06864099482168484
12,0.6,0.4,0.8599884733540111,0.9866366935047983,0.12664822015078725
13,0.6,0.4,0.8381236323539053,1.0055806007922743,0.167456968438369
14,0.6,0.4,0.9001331236737528,1.0070555096691087,0.10692238599535597
15,0.6,0.4,0.9303803047189514,0.9756540351617757,0.045273730442824345
16,0.6,0.4,0.7840639013521011,0.9808899350906874,0.19682603373858631
17,0.6,0.4,0.9990791706775752,1.0345140846133658,0.03543491393579057
18,0.6,0.4,0.8948396687487963,1.0364672076997707,0.14162753895097446
19,0.6,0.4,0.8362288085351712,0.9950130824843579,0.1587842739491867
20,0.6,0.4,0.8314301734218248,1.0110819992382016,0.17965182581637684
21,0.6,0.4,0.867289232548385,0.9720482567776922,0.10475902422930727
22,0.6,0.4,0.7803617485489727,0.9914186959947822,0.2110569474458095
23,0.6,0.4,0.7604258845500835,0.979429192814816,0.21900330826473247
24,0.6,0.4,0.8957208457509999,1.0057704904018163,0.11004964465081646
25,0.6,0.4,0.9360685699375307,0.9916297677707657,0.05556119783323499
26,0.6,0.4,0.7649982237214239,1.000799021251781,0.2358007975303571
27,0.6,0.4,0.8125712797288067,0.9862353891715925,0.17366410944278576
28,0.6,0.4,0.873353755500936,0.9824778971604977,0.10912414165956175
29,0.6,0.4,0.8323765438934696,0.966821572698289,0.13444502880481934
30,0.6,0.4,0.8872272760856073,0.9864342310633984,0.0992069549777912
31,0.6,0.4,0.8778824504664189,0.9818230144847482,0.1039405640183293
32,0.6,0.4,0.9009165356027378,0.9753615629110293,0.0744450273082915
33,0.6,0.4,0.95361240783104,0.999609745981727,0.04599733815068707
34,0.6,0.4,0.9503119987700201,0.9714134721277338,0.021101473357713618
35,0.6,0.4,0.9155274320662183,1.002355132045392,0.08682769997917372
36,0.6,0.4,0.8077572070979536,1.0082943970579377,0.20053718995998404
37,0.6,0.4,0.8586780130420816,0.9354972724475501,0.07681925940546852
38,0.6,0.4,0.9226027335608733,0.95242966330749,0.029826929746616715
39,0.6,0.4,0.8975408922973727,0.9916053929928451,0.09406450069547245
40,0.6,0.4,0.7667642027001496,0.9930643979006977,0.22630019520054812
41,0.6,0.4,0.9249433425181983,0.9655172819161603,0.040573939397961944
42,0.6,0.4,0.8436740932398364,0.9874088913831425,0.14373479814330603
43,0.6,0.4,0.8399541717074962,0.9611518863853774,0.12119771467788121
44,0.6,0.4,0.865995539344237,0.9951744590516061,0.12917891970736906
45,0.6,0.4,0.9443795209246044,0.9851144992544139,0.040734978329809435
46,0.6,0.4,0.8499278378861278,1.0031616119704798,0.15323377408435201
47,0.6,0.4,0.8702872362340344,0.9846811943303508,0.11439395809631647
48,0.6,0.4,0.8063039683454344,0.9959567839571837,0.1896528156117493
49,0.6,0.4,0.8790203886329812,0.9919341126075147,0.11291372397453359
0,0.5,0.5,0.9272684272411824,0.966054101333813,0.03878567409263056
1,0.5,0.5,0.9341808244990157,1.0288809738544908,0.0947001493554751
2,0.5,0.5,0.8848637834682658,1.0075883254834834,0.12272454201521765
3,0.5,0.5,0.8990670094263833,1.0047154001991287,0.10564839077274546
4,0.5,0.5,0.8610095233824664,1.0152866462044654,0.154277122821999
5,0.5,0.5,0.9493331402769993,0.9876206277413376,0.0382874874643383
6,0.5,0.5,0.9184604233831966,0.9998137413282854,0.08135331794508882
7,0.5,0.5,0.9646216500030422,0.9570563777686791,-0.007565272234363096
8,0.5,0.5,0.9856655042265124,1.021338100391888,0.03567259616537555
9,0.5,0.5,0.9340128167795461,0.9585988129695402,0.02458599618999413
10,0.5,0.5,0.894897147749282,1.0310650172337108,0.13616786948442883
11,0.5,0.5,0.8909909779446301,1.0050386269476548,0.11404764900302466
12,0.5,0.5,0.9164833485160266,1.0133492712446293,0.09686592272860262
13,0.5,0.5,0.9071863281304537,1.0150802263341245,0.10789389820367079
14,0.5,0.5,0.8915445232549143,1.0120480320607457,0.12050350880583138
