source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score,in_nss_orbit,in_nss_accel,in_any_nss,pct_bin,distance_pc,M_G,gal_l,gal_b,anomaly_class
2208212217841297536,341.3836527513345,63.26288468435892,33.19849164958792,0.015505685,-166.13369600649696,0.016779486,163.2569611840595,0.016008036,1.0318835,0.13094436,28,11.6907015,2.2961712,12.895197,10.599026,1.3896377,-24.347355,0.26737133,False,,2141.052951557225,232.92324985675572,33.259513411120906,0.013630658,0.053441245,0.0670719,False,False,False,Bottom 50%,30.121850430888855,9.296293261420512,109.315645518156,3.769442285727738,Below Top 5% Threshold
6384510877400590336,343.663945499282,-70.07338567190854,37.46412217995383,0.025311647,-43.1401829735091,0.029268023,72.72790910579438,0.027050624,0.9893201,0.17958735,21,5.8999476,0.8149948,6.2226653,5.4076705,1.2011476,-2.2913752,0.120681,False,5683.7173,1480.1139651274027,84.56018064011296,10.699703508161319,-0.0046631675,0.071730115,0.067066945,False,False,False,Bottom 50%,26.692204215986578,3.7680254056010094,316.2728152278371,-43.90561230988346,Below Top 5% Threshold
6451040126974547200,316.6364533184327,-61.94138255189301,30.61737664092876,0.015317605,-171.8374694982102,0.012269789,-65.87102470744058,0.012986378,1.1151241,0.04648303,24,13.59417,2.7439146,15.136845,12.39293,1.4477911,18.441078,0.9659412,False,3228.3652,1998.8357766554395,184.03018181688722,28.493282302681173,0.047323205,0.019732194,0.0670554,False,False,False,Bottom 50%,32.66119144457392,11.02400988361126,333.34195857644727,-39.429745116748016,Below Top 5% Threshold
4334155917641173248,253.1849873082357,-11.821590059426386,38.310127729560655,0.016379472,-101.0104967763458,0.021812856,48.94664667165768,0.015719851,1.1219466,0.040038716,18,13.395634,2.6723394,14.881637,12.209297,1.4398264,-10.552016,2.4744525,False,,2338.9110490038984,112.2447980059845,13.889097456411209,0.049972177,0.017049503,0.06702168,False,False,False,Bottom 50%,26.10275818079263,11.312201999820228,7.56089800853521,19.74580536760117,Below Top 5% Threshold
6617542093345362432,329.4555116301693,-29.11693491350665,29.83670439845777,0.018885199,54.06688892880625,0.019394254,-132.0550398828385,0.014378445,1.0577828,0.10309077,20,8.752423,1.1805305,9.264272,8.083741,1.2318805,11.276257,0.13481613,False,4776.2515,1579.898863080842,142.69464613957297,22.671394271688598,0.024396488,0.04261125,0.067007735,False,False,False,Bottom 50%,33.51576590515436,6.126177258110705,19.474993754157897,-51.8844342999594,Below Top 5% Threshold
3439146653698890880,96.804374176489,32.13306734195181,23.95745312712962,0.02887116,7.377478219815407,0.034775786,-195.2443548672855,0.026663043,1.0880759,0.072376214,17,14.847053,2.8875866,16.501804,13.614218,1.468191,-18.25646,3.8785796,False,3160.5474,829.8056997593002,195.38368737544687,38.66064157895966,0.03665918,0.030347187,0.067006364,False,False,False,Bottom 50%,41.740663946769516,11.744256235609537,181.5274434840612,9.382974537934526,Below Top 5% Threshold
4146953377135389440,271.9565903201973,-14.289922867716411,24.11432944710717,0.020492945,-112.224226543984,0.02470984,-222.33200307720475,0.017205779,1.0595804,0.10118161,15,12.611323,2.4937897,13.957539,11.463749,1.4211565,-8.786415,1.7120714,False,,1176.7137229077598,249.0497874235544,48.958983013702124,0.025133934,0.041858956,0.066992894,False,False,False,Bottom 50%,41.469119105858574,9.522698949479407,15.255467593818905,2.8991667007902575,Below Top 5% Threshold
5648784147831837696,134.31303657389307,-27.79612076956901,36.72383402192305,0.018113082,-418.6493762763205,0.01686855,214.53572872731843,0.016447958,1.0963783,0.06421706,23,14.042816,2.99959,15.785101,12.785511,1.4858212,45.522366,2.9526367,False,3108.2747,2027.4756921424923,470.4177708772424,60.7235434344681,0.03996044,0.02703023,0.06699067,False,False,False,Bottom 50%,27.230272291368856,11.867556079372944,252.58693823172234,11.430469510878016,Below Top 5% Threshold
3326076038995025664,99.19486659956628,8.143722022123892,24.57226864915216,0.025234917,17.268917699774917,0.027500447,6.299311953360605,0.025118854,1.088615,0.07178711,14,14.519507,2.971468,16.236927,13.265459,1.4851842,,,False,3132.5344,973.7408082259972,18.38197077593562,3.546240774443355,0.03687429,0.030108534,0.06698282,False,False,False,Bottom 50%,40.6962830448504,11.471733274122897,204.01925871661652,0.4745497917292434,Below Top 5% Threshold
3323368281154260736,90.68475392973598,8.80865012259744,32.83690714840277,0.018114196,71.26302360152137,0.019504054,21.359609287137737,0.015183675,1.069894,0.090529464,17,10.357299,1.7786655,11.224087,9.445421,1.3013088,-39.130928,0.33874968,False,,1812.771977336964,74.39523803127571,10.740000342793424,0.029340735,0.037637394,0.06697813,False,False,False,Bottom 50%,30.453538010769726,7.939110224630853,199.4651856916497,-6.64122691925901,Below Top 5% Threshold
