source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score,in_nss_orbit,in_nss_accel,in_any_nss,pct_bin,distance_pc,M_G,gal_l,gal_b,anomaly_class,NUV,NUV_G
2352443855348067584,15.615470955151627,-21.609666558006577,30.860065866366973,0.018270316,231.0774616794122,0.021446599,-33.628618339946506,0.024382968,0.9324343,0.068577096,16,10.156162,1.7092085,10.974213,9.265004,1.2978665,15.439602,0.18754423,False,,1689.0822544015834,233.511621268951,35.87013845240186,-0.03038175,0.028805843,-0.0015759077,False,False,False,Bottom 50%,32.404337836811166,7.603146243335776,147.97498227933525,-83.93789732749413,Below Top 5% Threshold,,
4506124621465681536,284.77397950632314,13.621689416772112,20.931560008610425,0.07416277,14.852509599213722,0.07700003,-124.52667066850428,0.080845036,1.0063208,0.52744067,16,5.117089,0.7241459,5.402442,4.678296,1.188171,15.128119,0.1293178,False,,282.2381235536006,125.4092849400588,28.40203753257029,0.0027364641,0.18396434,0.1867008,False,False,False,50-90%,47.77474777745372,1.7210969854305986,45.94072484827343,4.5019052550996745,Below Top 5% Threshold,,
2157065273362367488,280.2555752249109,62.43540536964913,29.001124726329675,0.0102231195,101.83281768924566,0.014374863,-64.97473737906844,0.012999803,0.9836987,0.0712995,26,10.123015,1.5956154,10.877083,9.281467,1.2758689,-2.4577894,0.17513819,False,,2836.8175360352147,120.79585777670547,19.745066624773276,-0.0071378914,0.029910924,0.022773033,False,False,False,Bottom 50%,34.48142130474393,7.43508920552352,92.2586136093606,25.02004396644792,Below Top 5% Threshold,,
4922510057156118400,0.1346271192955446,-56.83624690836059,22.142690515348548,0.013511891,-44.90741955335684,0.012934428,-145.4398113865236,0.013036017,1.106912,0.1045414,27,10.284287,1.4177322,10.931807,9.514074,1.2551011,11.540516,0.16053703,False,4463.0645,1638.7559121209424,152.21502904473255,32.58731264999235,0.044113103,0.043182008,0.087295115,False,False,False,Bottom 50%,45.16163016896409,7.010438950142801,316.4368615182516,-58.93748245594438,Below Top 5% Threshold,19.268999099731445,8.984712099731444
1173847139324624256,223.0433895526392,9.098892591310705,20.09357736590265,0.018145945,14.897587667878597,0.016641134,-137.3806195351666,0.016397474,1.0934865,0.085913025,14,9.811841,1.2374372,10.357304,9.119866,1.2349797,18.92235,0.20150101,False,4649.595,1107.33155264095,138.18600776557778,32.600796379050415,0.038813446,0.035795055,0.074608505,False,False,False,Bottom 50%,49.76714607807606,6.327127316882747,6.345386494440085,56.27875138130345,Below Top 5% Threshold,,
248004472671505152,53.308984280240246,46.25450474632456,27.48085387139924,0.015828872,68.90232736097906,0.014599973,-172.5846849639144,0.014564991,0.9872436,0.06028407,17,10.496969,1.7146101,11.304553,9.589943,1.3152547,-14.268187,8.324891,False,4071.9795,1736.1220495448129,185.83057929160395,32.055928477946374,-0.005575676,0.025422215,0.01984654,False,False,False,Bottom 50%,36.38897119717056,7.692120113894576,149.8677080245774,-7.983362285281481,Below Top 5% Threshold,,
6447055599914866816,299.23242605885514,-59.28541435422129,24.963237222846065,0.014707851,121.75419820339437,0.0124826655,-176.3022483516054,0.012107582,1.0800067,0.084685534,22,10.348847,1.6351051,11.126372,9.491267,1.2817218,-33.7609,0.16623573,False,,1697.2728948134616,214.25817966645425,40.687209911777536,0.033426456,0.03530386,0.06873032,False,False,False,Bottom 50%,40.05890706694129,7.335351519005457,337.94621827528294,-31.34285239555877,Below Top 5% Threshold,,
1930980054623927424,344.9100496646006,41.05282704592396,21.9823496170757,0.012215042,-199.554591578244,0.011143005,-197.86268850570644,0.01325804,0.9654952,0.061422113,21,10.509369,1.5161686,11.214319,9.698151,1.2674552,-35.505646,0.20331042,False,4350.7617,1799.613166869836,281.0190002876424,60.60144449976122,-0.015249868,0.02588813,0.010638262,False,False,False,Bottom 50%,45.49104246905475,7.219739553993714,101.23399935451614,-17.061217133408633,Below Top 5% Threshold,,
4772123907590995200,79.61717004188031,-51.42767748178157,27.324176775141183,0.014867454,-32.94620356260733,0.017664056,-155.02650162837932,0.019777749,1.0360054,0.12234293,27,8.09143,0.90816784,8.45845,7.5502825,1.2101038,0.5991159,0.1329398,False,5405.638,1837.8517987494167,158.4887016046338,27.4961965543731,0.015362009,0.05012558,0.06548759,False,False,False,Bottom 50%,36.59762591309882,5.274165431809669,258.4628734058389,-35.13302037412322,Below Top 5% Threshold,14.116000175476074,6.024570175476073
2042936967130460032,286.8560903532804,32.50211915480841,22.84073854971826,0.018976526,120.5974781053176,0.016916072,9.11047832065349,0.02180686,1.0541239,0.116677105,21,9.288721,1.0649395,9.179106,8.114166,2.0440106,,,False,,1203.631167614352,120.94111187099966,25.10066438277188,0.022891652,0.04792759,0.070819244,False,False,False,Bottom 50%,43.78142142047045,6.082271713035764,63.90713516810468,11.11038715271114,Below Top 5% Threshold,,
