max,mean,p95,top5_mean
0.5150847231794418,0.4726219251727522,0.5143395622613889,0.5053952608202936
0.5331043965573438,0.47648399750328113,0.5084261317847945,0.5099660261523133
0.6198861992810225,0.4767759744641201,0.5213356175348195,0.530465716658903
0.515641840682982,0.46833498969511894,0.503985376607698,0.5020108095503272
0.5377146891117526,0.46658324692700504,0.5338857413699122,0.513183171498565
0.5393961694674244,0.4747337817597182,0.5136511381924417,0.5064017568467161
0.5297697691334599,0.47496391395452037,0.5112404721028285,0.5116081337493665
0.5674934741743272,0.4732107533079418,0.5199230201162178,0.515726329976842
0.5291303756135081,0.4721932312056017,0.49796263794670065,0.49889246549047694
0.5225573559846507,0.4728612926824284,0.5192296931094617,0.510480795171899
0.5338509112542908,0.4717638356589389,0.5190437840379704,0.5063682554171974
0.519242296471853,0.4692371675578461,0.508373773795464,0.5022670368331519
0.5071496717214184,0.4669288288307881,0.5069111795310142,0.5014443822916321
0.5227249898975969,0.47109327487063635,0.5070899871207977,0.5006120979749835
0.5104825121122656,0.47032367969541183,0.4957727983184973,0.4955611952977269
0.5083247490626107,0.4689950088461594,0.503213540665278,0.4978778112589378
0.5174190652586887,0.4753179044853952,0.507411637512404,0.5067605884890826
0.5191993901301568,0.47059694703595056,0.4937179505632093,0.4952755931587543
0.5164293258102368,0.4711427930621416,0.5157988220025079,0.49994757052339744
0.502426418975834,0.47375517632597197,0.4996942070679216,0.49528218941968555
0.5117072715534483,0.4683398725769107,0.5096675246532129,0.5055339059161769
0.49685748447854444,0.4671813496547209,0.493165807888012,0.4916209850255642
0.5340179337908112,0.4682433212603962,0.5092326194024759,0.5057836139928488
0.5139977591476743,0.47084860174864235,0.5100694496018253,0.5018986877047718
0.5333306285025787,0.46938180915237754,0.49761931701072515,0.4997768657094401
0.6270914611460888,0.481647036247321,0.5296907723512831,0.5357209198611321
0.5642495707053867,0.47628597435405196,0.5311182918881515,0.5204036188382873
0.5125751015376534,0.4727285671992285,0.5017623508272502,0.5004126781117929
0.5452862611958751,0.4707099753344802,0.5269599319780405,0.5151583405105901
0.5795591206905941,0.4732960636168638,0.5133151234244318,0.5156801246480551
0.5560550668821755,0.4676766622999567,0.507918916446861,0.5077601882817772
0.5294780506096276,0.4729316437124405,0.5066460880762945,0.5023932055026687
0.5201948887308642,0.4634885758582292,0.4966775662494391,0.49661757037987897
0.5327232648303155,0.47420083966458276,0.5270283958845529,0.5163904921595913
0.5296371758574769,0.4734747373636538,0.5217487151638481,0.516551883285232
0.6645614855275283,0.47665895415856374,0.5111996993369802,0.5400086511480816
0.5358462044830521,0.46883076618262337,0.5233617393940715,0.5142327138255366
0.5170667289587433,0.47361973148737324,0.51313518283511,0.5017116724629964
0.5115035911507724,0.4657393072939844,0.5076625502805269,0.501554157071323
0.560755829740368,0.47346812848592057,0.5035203468306155,0.5107177483439234
0.5322706211189323,0.46929512211942526,0.5146890744002505,0.5103897937691497
0.5096173955872783,0.46775944506580264,0.5065012646045357,0.492557189828838
0.5616980163076759,0.4605137341804393,0.5037428061423063,0.5086891075698092
0.5224384086354922,0.4681743545943449,0.5146911698944522,0.5073580021718622
0.49710843426288953,0.47092136001795104,0.4969261002898275,0.49383330542497933
0.5266952857842543,0.4713503497042236,0.5238500669107787,0.5024422514279794
0.5412290150391427,0.4716492426681275,0.5204327593383792,0.5085975678587359
0.5300574971646246,0.47050559353991567,0.4971409024799433,0.5008573618793056
0.5597471567115728,0.47371889335722855,0.5096304980348303,0.5079183462665333
0.506526120135085,0.4729642791707312,0.49852603492924763,0.4974257299988237
0.5318410893133927,0.47231935122800345,0.5244365327665789,0.5135825999181063
0.5190132541231685,0.47190256047016904,0.5100667528528402,0.5084534182557591
0.5054539637828339,0.46893175001353804,0.5044065690543026,0.4983870372214344
0.5318533046491813,0.46778496296752925,0.5238798106380798,0.5126943124272374
0.5310119407083965,0.470684053104393,0.5255769204748274,0.5124913974740215
0.5151722661450796,0.4691866566564284,0.5046971405463635,0.5027665025475947
0.49933481046306477,0.46149208295376765,0.4982932664568265,0.4955790126641344
0.5078313498829,0.466179267700793,0.5012842166220589,0.49823156885700526
0.5277036484410568,0.46897412553393975,0.5047997170571985,0.5021304107012476
0.5196119401956508,0.4729131415116313,0.5185667513574732,0.5068140938942156
0.5039468160687148,0.4680670729771355,0.5012419328906452,0.49660433841782475
0.5114328201284671,0.46768744383248423,0.5112969282162536,0.5035389789686613
0.5101184459509808,0.47304071146689364,0.4966509969073733,0.49596830728014674
